database,workload,workload_label,threads,record_count,dataset_label,series,throughput_ops_sec_mean,throughput_ops_sec_std,read_avg_latency_us_mean,read_p95_latency_us_mean,read_p99_latency_us_mean,update_avg_latency_us_mean,update_p95_latency_us_mean,update_p99_latency_us_mean,avg_cpu_percent_mean,max_cpu_percent_mean,avg_mem_usage_mb_mean,max_mem_usage_mb_mean,total_blk_read_mb_mean,total_blk_write_mb_mean,avg_cpu_percent_std,avg_mem_usage_mb_std,insert_avg_latency_us_mean,insert_avg_latency_us_std,insert_ok_mean,insert_ok_std,insert_ops_mean,insert_ops_std,insert_p95_latency_us_mean,insert_p95_latency_us_std,insert_p99_latency_us_mean,insert_p99_latency_us_std,load_duration_sec_mean,load_duration_sec_std,max_cpu_percent_std,max_mem_usage_mb_std,min_cpu_percent_mean,min_cpu_percent_std,min_mem_usage_mb_mean,min_mem_usage_mb_std,operation_count_mean,operation_count_std,read_avg_latency_us_std,read_max_latency_us_mean,read_max_latency_us_std,read_min_latency_us_mean,read_min_latency_us_std,read_ok_mean,read_ok_std,read_ops_mean,read_ops_std,read_p95_latency_us_std,read_p99_latency_us_std,record_count_mean,record_count_std,rmw_avg_latency_us_mean,rmw_avg_latency_us_std,rmw_ops_mean,rmw_ops_std,rmw_p95_latency_us_mean,rmw_p95_latency_us_std,rmw_p99_latency_us_mean,rmw_p99_latency_us_std,run_duration_sec_mean,run_duration_sec_std,runtime_ms_mean,runtime_ms_std,threads_mean,threads_std,total_blk_read_mb_std,total_blk_write_mb_std,total_net_rx_mb_mean,total_net_rx_mb_std,total_net_tx_mb_mean,total_net_tx_mb_std,update_avg_latency_us_std,update_max_latency_us_mean,update_max_latency_us_std,update_min_latency_us_mean,update_min_latency_us_std,update_ok_mean,update_ok_std,update_ops_mean,update_ops_std,update_p95_latency_us_std,update_p99_latency_us_std,num_repetitions
mongodb,workload_a,Workload A (Update Heavy),10,1000000,1 GB,workload,5025.918658949341,153.26075909220975,1846.6657428044084,3406.3333333333335,9087.0,1874.2501450411492,3441.6666666666665,9133.666666666666,265.87772761031874,402.29928850320715,1983.927864583333,2047.96875,502.7578125,846.2083333333334,37.20870878207853,43.92032931222305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.69916327794394,4.225618216575218,113.59400365802222,0.029491540762776366,29.034621000332095,45.57400641188952,1729.7734375,154.62746808018198,100000.0,0.0,73.12155242441091,231956.33333333334,118375.02583456248,643.0,11.532562594670797,49921.0,310.9807067970616,49921.0,310.9807067970616,296.7310791496795,1867.0875715937912,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.177109400431316,0.6331003917247151,19909.333333333332,613.6223051139303,10.0,0.0,59.307830144346575,101.56035802528925,28.257614771525066,0.5586857026068831,68.84697024027507,1.7488547912584356,44.91839584181369,223572.33333333334,133140.26512416644,656.0,26.962937525425527,50079.0,310.9807067970616,50079.0,310.9807067970616,329.2678747362599,1914.1758888183012,3
mongodb,workload_b,Workload B (Read Heavy),10,1000000,1 GB,workload,5632.670316626969,1215.5814776835375,1688.1458786794865,3465.0,8046.333333333333,1846.5948977163735,3695.0,8816.333333333334,292.6967630050431,445.6001539564076,1895.0347098214286,2015.1770833333333,315.4765625,50.166666666666664,99.59678512302493,151.82214563003959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.50597977638245,12.226948679768084,239.39285718099515,56.84419363001479,0.8230746086003434,0.16065579248545692,1750.33203125,267.14844983732974,100000.0,0.0,338.14540281821337,165631.0,140816.8862601357,597.6666666666666,23.115651263447745,94982.0,8.888194417315589,94982.0,8.888194417315589,1044.9822965007588,4233.230602428048,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.57508047421773,3.5905022986506254,18260.666666666668,3527.458055503046,10.0,0.0,44.899603344496974,45.144876908594206,23.15713628133138,0.8234101137668639,117.81420230865479,4.199085134399847,370.9618117426601,63087.0,27818.72750504595,733.6666666666666,36.50114153466071,5018.0,8.888194417315589,5018.0,8.888194417315589,1078.762253696337,4291.245662198022,3
mongodb,workload_f,Workload F (Read-Modify-Write),10,1000000,1 GB,workload,4432.99132401609,145.29727664949934,1502.9123933333333,2505.0,6743.0,1264.844494904594,2095.0,3107.6666666666665,265.42234451024416,380.4297663277527,1992.172269570707,2047.9895833333333,498.4713541666667,885.5729166666666,27.634649691242775,36.218061311881456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.59967629114787,2.1828988059341,100.77224134769195,0.011933790872280832,2.53898320520281,2.493183369987972,1760.59375,125.34172333034948,100000.0,0.0,51.11201152794151,142911.0,41225.19152168975,602.3333333333334,12.503332889007368,100000.0,0.0,100000.0,0.0,136.92333621410194,472.81285938519056,1000000.0,0.0,2779.990680564777,92.6785792762822,49830.666666666664,277.77028878793595,4679.0,177.22302333500576,8852.333333333334,114.35616875942168,22.838456471761067,0.7522161473559612,22574.0,726.2313680914643,10.0,0.0,34.824159889649266,73.56760347522027,40.25808525085449,0.20125284091861886,133.58391348520914,0.41783125337538823,45.77128211659979,37924.333333333336,17997.748007273945,629.6666666666666,8.020806277010644,49830.666666666664,277.77028878793595,49830.666666666664,277.77028878793595,71.52621896899066,252.0423244880378,3
cassandra,workload_a,Workload A (Update Heavy),10,1000000,1 GB,workload,5101.746331741154,422.70234557158847,1823.1367275582052,3703.6666666666665,7256.333333333333,1499.2382301717323,2654.3333333333335,5059.666666666667,292.60269814062957,444.5158227138865,2044.7832741477275,2048.0013020833335,677.8203125,35.09375,29.14869160411539,4.534095232447161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.38009158770242,6.3567990901017355,50.60720073936829,0.002255274489021976,1.962650258532933,0.4569002961489664,2017.9205729166667,45.583613997483944,100000.0,0.0,195.0595212783229,68857.66666666667,55390.66048832902,714.6666666666666,43.015501081974314,49977.666666666664,151.06400409539438,49977.666666666664,151.06400409539438,751.6976342475299,2865.0063408888527,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.024177710215252,1.7289811783438545,19695.666666666668,1711.5783164475217,10.0,0.0,156.72972659676492,12.05509571266863,15.412969907124838,0.15210019397038843,56.550743420918785,0.48825641428506056,120.04233533377995,38111.0,14291.06350136336,664.0,43.9203825119955,50022.333333333336,151.06400409539438,50022.333333333336,151.06400409539438,411.11717713242456,1745.2911886941197,3
cassandra,workload_b,Workload B (Read Heavy),10,1000000,1 GB,workload,4957.249512170266,280.5425342459863,1713.082756963446,3501.0,7807.0,1632.5506969900737,2850.3333333333335,5869.666666666667,287.9319835147251,454.89804093577453,2045.2135850694442,2047.9635416666667,718.1497395833334,69.35677083333333,37.357440042091184,4.387804825785951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.355362256368,29.075962450957427,82.09059508474404,0.025415652729092623,1.7947580414510709,0.3522751590418109,2021.8971354166667,43.96757844486108,100000.0,0.0,118.77880765355992,81609.66666666667,25159.4560619528,667.0,21.656407827707714,94988.33333333333,14.364307617610162,94988.33333333333,14.364307617610162,423.4288606129724,1671.4640289279337,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.538026491800945,1.1769368140305034,20216.666666666668,1171.5819789213785,10.0,0.0,39.73300024912793,5.161621748117351,11.065829277038574,0.30839113043929894,101.77253119150798,1.9701153219563543,122.7344691742876,34196.333333333336,14532.451594047487,750.0,54.064775963653084,5011.666666666667,14.364307617610162,5011.666666666667,14.364307617610162,261.81927609198937,836.4623920615519,3
cassandra,workload_f,Workload F (Read-Modify-Write),10,1000000,1 GB,workload,3696.2762279690564,364.20060579832733,1674.84691,3154.3333333333335,6207.0,1469.6239934692924,2401.0,4094.3333333333335,300.34278474355506,421.30949137703857,2047.5728856646826,2047.9791666666667,728.9283854166666,68.39973958333333,21.920609650183128,0.404025322100388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.30402000745138,17.277734922849152,63.24409089274409,0.02004531812283939,2.007341077541123,0.4486757442700501,2044.84375,4.655417553523663,100000.0,0.0,184.01455458561097,65652.33333333333,23938.188848226033,719.0,51.884487084291386,100000.0,0.0,100000.0,0.0,622.0010718104378,2060.477614535038,1000000.0,0.0,3150.190909319776,319.09001570980695,49981.333333333336,172.1433511156714,5447.0,937.639589607862,9779.0,3115.019101065032,27.55710808436076,2.5653259732814857,27222.333333333332,2559.904164872844,10.0,0.0,25.742223164018036,40.41119677047688,20.35636838277181,0.35520977483680943,110.1339864730835,0.7852055681601104,140.8533498872005,32324.333333333332,4628.463820030717,683.0,53.39475629684998,49981.333333333336,172.1433511156714,49981.333333333336,172.1433511156714,356.19657494142194,913.5213918312659,3
mongodb,workload_a,Workload A (Update Heavy),1,1000000,1 GB,concurrency,727.0430513081361,270.6155849258899,1448.6590895810084,2660.0,5644.333333333333,1487.3237070854345,2731.3333333333335,5789.0,68.0041381644096,191.70235672157864,2025.389155448452,2047.9986979166667,209.3671875,1015.5260416666666,20.053955023972485,8.066937463007138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,951.5052795410156,104.67901217195205,118.44686869788686,0.0022552744890219755,0.9897218988431568,0.8682843300668533,1903.1119791666667,23.676163214278482,100000.0,0.0,445.4196473543772,258121.66666666666,231025.24126452793,635.6666666666666,17.616280348965084,49965.333333333336,187.91043966031617,49965.333333333336,187.91043966031617,1091.1924669827958,3262.33617724068,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.5275569756826,45.93654168446349,148863.66666666666,45623.07041764433,1.0,0.0,86.20751410922136,76.68117261016205,28.643565495808918,0.015454966720574703,69.8437484105428,0.25947472758812695,458.5292163822797,288425.6666666667,131179.47676878932,651.3333333333334,12.662279942148386,50034.666666666664,187.91043966031617,50034.666666666664,187.91043966031617,1127.3607822402432,3293.7559108106357,3
mongodb,workload_a,Workload A (Update Heavy),10,1000000,1 GB,concurrency,5714.920123271688,832.7983816443692,1649.1732009856896,2503.0,10007.0,1646.3493250518277,2532.3333333333335,9228.333333333334,267.0354416496703,403.76731803736146,1985.5385525173613,2047.9830729166667,530.3684895833334,816.9791666666666,18.972454807157245,101.1605107142121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.3612129688263,3.2661394402989874,73.18112470779317,0.029318568357285687,25.472686505625422,24.47466879453787,1816.24609375,336.0098128248269,100000.0,0.0,277.54642349642705,185897.66666666666,98889.61679232726,603.3333333333334,24.542480178933285,50040.666666666664,216.08408857047604,50040.666666666664,216.08408857047604,268.20141684935226,3042.2412790572675,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0374436378479,2.749018140026263,17758.666666666668,2690.439059583646,10.0,0.0,49.799738162985236,113.84374204739083,28.385955810546875,0.4675707242546322,69.31371243794759,1.1697172341205575,242.60275089013447,184447.0,98103.37861664093,632.3333333333334,12.701705922171767,49959.333333333336,216.08408857047604,49959.333333333336,216.08408857047604,316.93742810424476,2265.205803747936,3
mongodb,workload_a,Workload A (Update Heavy),50,1000000,1 GB,concurrency,8533.945092366155,363.6367101654737,5227.21225057221,10855.0,26751.0,5273.5084983429015,10969.666666666666,25449.666666666668,589.2689612096597,835.2890339072337,2008.2960069444446,2047.9856770833333,553.1783854166666,860.68359375,14.091922578652126,44.055784761768756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.6898574034373,0.5149478899839155,54.56687195879324,0.01578692142315383,4.786019068413391,3.7896880618652045,1871.6927083333333,171.87011859782208,100000.0,0.0,245.51683545488035,250623.0,28221.605340589682,691.3333333333334,21.939310229205777,50045.666666666664,111.46897924235843,50045.666666666664,111.46897924235843,402.1541992818178,5856.87425168067,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.982398827870687,0.512827265010681,11732.333333333334,507.8329777922396,50.0,0.0,38.6382370933505,45.126840654277174,27.647598584493,1.8214550559749962,67.56398709615071,4.401757655130633,193.47198124860012,247124.33333333334,16322.551434543968,705.3333333333334,15.56705923844749,49954.333333333336,111.46897924235843,49954.333333333336,111.46897924235843,408.4180864424754,4422.208196516004,3
mongodb,workload_a,Workload A (Update Heavy),100,1000000,1 GB,concurrency,8623.292718293009,350.5873421153835,10243.380710399379,22260.333333333332,57033.666666666664,10542.25590211473,23247.0,60372.333333333336,581.3324509499832,855.4408494484563,2006.9544270833333,2047.9309895833333,556.3489583333334,941.3658854166666,60.730004165097014,68.98884810598734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.53831156094869,3.5394399415732423,88.72619096545236,0.032759754232836266,2.220142330923941,2.535691695156295,1897.9518229166667,249.28575376264897,100000.0,0.0,854.6516394419297,320468.3333333333,142083.24801092257,674.3333333333334,27.5922694487665,50072.666666666664,157.4304079056309,50072.666666666664,157.4304079056309,2574.426020170969,8092.795149596543,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.888497829437256,0.42749997104251203,11609.0,461.2504742544987,100.0,0.0,44.2237921797658,65.50484737872974,27.897718747456867,1.0630007611979875,68.34270731608073,2.742862677111816,251.16484881723983,368383.0,190784.93391250787,692.6666666666666,20.599352740640498,49927.333333333336,157.4304079056309,49927.333333333336,157.4304079056309,2333.862035339707,3595.457875338457,3
